country_name, 1789,1790,1791,1792,1793,1794,1795,1796,1797,1798,1799,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,
United States,0.281,0.279,0.278,0.281,0.282,0.282,0.282,0.282,0.281,0.272,0.271,0.278,0.287,0.289,0.290,0.286,0.285,0.285,0.285,0.285,0.285,0.285,0.285,0.284,0.284,0.287,0.287,0.286,0.286,0.286,0.287,0.284,0.282,0.282,0.282,0.282,0.282,0.282,0.282,0.297,0.297,0.299,0.302,0.302,0.311,0.314,0.315,0.314,0.314,0.312,0.312,0.306,0.299,0.299,0.299,0.298,0.297,0.296,0.293,0.294,0.294,0.294,0.293,0.293,0.292,0.292,0.291,0.291,0.291,0.291,0.291,0.295,0.295,0.299,0.300,0.300,0.299,0.320,0.320,0.321,0.321,0.323,0.319,0.319,0.320,0.319,0.319,0.318,0.315,0.315,0.319,0.319,0.317,0.317,0.318,0.317,0.314,0.314,0.318,0.316,0.313,0.313,0.316,0.316,0.317,0.319,0.340,0.354,0.362,0.363,0.365,0.365,0.368,0.368,0.369,0.369,0.370,0.370,0.369,0.369,0.371,0.370,0.372,0.372,0.375,0.370,0.371,0.370,0.360,0.358,0.365,0.430,0.427,0.432,0.446,0.446,0.443,0.445,0.447,0.446,0.445,0.447,0.460,0.462,0.460,0.459,0.471,0.470,0.466,0.467,0.465,0.473,0.469,0.457,0.457,0.457,0.470,0.507,0.512,0.509,0.496,0.503,0.520,0.520,0.521,0.520,0.509,0.514,0.515,0.523,0.523,0.539,0.552,0.554,0.564,0.571,0.575,0.595,0.601,0.602,0.612,0.639,0.649,0.659,0.685,0.692,0.717,0.728,0.761,0.766,0.768,0.782,0.789,0.789,0.794,0.793,0.787,0.793,0.794,0.795,0.797,0.802,0.800,0.805,0.806,0.806,0.803,0.803,0.803,0.804,0.810,0.807,0.761,0.765,0.795,0.799,0.801,0.807,0.841,0.842,0.850,0.850,0.848,0.847,0.850,0.847,0.848,0.832,0.745,0.742,0.735,0.725,0.752,0.763,0.771,0.748,
Japan,0.019,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.016,0.017,0.017,0.017,0.017,0.018,0.018,0.018,0.018,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.019,0.020,0.038,0.079,0.079,0.079,0.079,0.082,0.104,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.110,0.111,0.168,0.185,0.181,0.180,0.183,0.184,0.184,0.184,0.190,0.189,0.200,0.199,0.199,0.200,0.199,0.199,0.200,0.200,0.200,0.198,0.199,0.200,0.200,0.204,0.204,0.205,0.206,0.207,0.207,0.207,0.210,0.209,0.209,0.209,0.212,0.211,0.216,0.216,0.215,0.214,0.213,0.214,0.212,0.209,0.207,0.205,0.206,0.200,0.195,0.194,0.187,0.186,0.181,0.180,0.180,0.201,0.279,0.357,0.365,0.367,0.367,0.367,0.553,0.706,0.706,0.739,0.747,0.747,0.754,0.759,0.759,0.760,0.760,0.760,0.763,0.763,0.763,0.761,0.761,0.761,0.753,0.756,0.758,0.761,0.761,0.761,0.760,0.757,0.757,0.758,0.760,0.760,0.760,0.760,0.760,0.762,0.761,0.759,0.759,0.759,0.763,0.763,0.763,0.762,0.768,0.768,0.768,0.768,0.768,0.768,0.770,0.770,0.770,0.770,0.770,0.772,0.777,0.777,0.781,0.785,0.783,0.783,0.776,0.749,0.747,0.748,0.748,0.747,0.760,0.762,0.748,0.738,0.738,0.742,0.734,
India,0.069,0.069,0.069,0.069,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.072,0.071,0.072,0.075,0.076,0.076,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.083,0.084,0.084,0.083,0.083,0.083,0.085,0.085,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.086,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.095,0.094,0.094,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.096,0.098,0.107,0.107,0.107,0.109,0.109,0.109,0.107,0.107,0.107,0.107,0.108,0.108,0.108,0.108,0.157,0.156,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.157,0.162,0.167,0.143,0.153,0.154,0.264,0.287,0.459,0.504,0.504,0.504,0.507,0.516,0.518,0.518,0.518,0.518,0.502,0.500,0.494,0.484,0.489,0.495,0.498,0.498,0.493,0.459,0.455,0.455,0.425,0.283,0.263,0.344,0.510,0.511,0.506,0.502,0.503,0.504,0.502,0.517,0.522,0.522,0.518,0.520,0.541,0.561,0.572,0.576,0.580,0.580,0.589,0.591,0.594,0.590,0.581,0.581,0.581,0.582,0.579,0.570,0.571,0.571,0.571,0.545,0.539,0.536,0.525,0.525,0.492,0.422,0.405,0.366,0.360,0.322,0.293,0.310,0.293,0.273,0.291,
France,0.218,0.224,0.209,0.164,0.177,0.180,0.225,0.226,0.226,0.226,0.204,0.102,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.106,0.101,0.164,0.171,0.171,0.171,0.171,0.156,0.168,0.165,0.165,0.165,0.165,0.165,0.165,0.164,0.164,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.337,0.383,0.383,0.186,0.146,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.149,0.168,0.170,0.170,0.170,0.170,0.170,0.170,0.170,0.175,0.245,0.314,0.367,0.367,0.384,0.400,0.398,0.399,0.429,0.440,0.449,0.448,0.446,0.446,0.446,0.447,0.448,0.448,0.448,0.448,0.448,0.448,0.448,0.445,0.446,0.446,0.446,0.446,0.451,0.451,0.455,0.459,0.457,0.456,0.456,0.458,0.462,0.463,0.463,0.463,0.466,0.467,0.467,0.467,0.419,0.417,0.417,0.417,0.421,0.442,0.468,0.468,0.468,0.468,0.468,0.465,0.465,0.465,0.464,0.464,0.464,0.464,0.462,0.462,0.463,0.462,0.457,0.457,0.459,0.444,0.124,0.060,0.060,0.060,0.060,0.179,0.269,0.597,0.631,0.631,0.639,0.638,0.638,0.638,0.604,0.620,0.624,0.631,0.636,0.627,0.632,0.632,0.634,0.661,0.661,0.661,0.666,0.670,0.668,0.715,0.748,0.752,0.745,0.758,0.761,0.769,0.769,0.769,0.771,0.772,0.772,0.783,0.789,0.789,0.789,0.789,0.789,0.788,0.798,0.800,0.800,0.800,0.801,0.795,0.798,0.792,0.795,0.798,0.800,0.800,0.800,0.800,0.798,0.797,0.797,0.797,0.797,0.805,0.814,0.814,0.814,0.815,0.818,0.820,0.820,0.813,0.813,0.815,0.797,0.793,0.789,0.788,0.808,0.810,0.799,
China,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.012,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.014,0.014,0.022,0.022,0.023,0.023,0.023,0.023,0.024,0.025,0.025,0.025,0.025,0.025,0.061,0.071,0.053,0.053,0.061,0.060,0.065,0.079,0.075,0.054,0.060,0.066,0.052,0.052,0.052,0.047,0.050,0.051,0.051,0.051,0.051,0.051,0.050,0.050,0.051,0.051,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.050,0.059,0.088,0.058,0.030,0.030,0.030,0.030,0.038,0.038,0.038,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.035,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.033,0.035,0.041,0.057,0.063,0.064,0.064,0.064,0.064,0.064,0.065,0.065,0.065,0.063,0.062,0.062,0.063,0.065,0.064,0.065,0.066,0.067,0.067,0.066,0.066,0.068,0.071,0.071,0.071,0.055,0.054,0.054,0.055,0.055,0.054,0.053,0.054,0.052,0.051,0.051,0.049,0.048,0.048,0.045,0.041,0.041,0.042,0.036,0.036,
Portugal,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.053,0.054,0.098,0.104,0.104,0.100,0.101,0.101,0.101,0.100,0.101,0.101,0.102,0.085,0.085,0.086,0.100,0.112,0.121,0.134,0.140,0.140,0.140,0.141,0.143,0.144,0.145,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.147,0.146,0.146,0.145,0.146,0.147,0.147,0.147,0.147,0.147,0.147,0.151,0.151,0.151,0.151,0.151,0.151,0.151,0.150,0.150,0.150,0.150,0.150,0.150,0.150,0.151,0.151,0.150,0.146,0.147,0.147,0.147,0.146,0.144,0.143,0.144,0.144,0.143,0.143,0.137,0.136,0.140,0.140,0.139,0.142,0.189,0.188,0.185,0.180,0.182,0.165,0.158,0.179,0.189,0.185,0.183,0.183,0.184,0.185,0.072,0.066,0.073,0.075,0.075,0.077,0.080,0.072,0.074,0.073,0.073,0.073,0.073,0.073,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.074,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.075,0.076,0.076,0.076,0.076,0.076,0.076,0.074,0.075,0.076,0.079,0.083,0.083,0.083,0.086,0.208,0.233,0.460,0.680,0.682,0.688,0.775,0.780,0.780,0.801,0.808,0.808,0.804,0.810,0.818,0.818,0.819,0.808,0.808,0.808,0.808,0.810,0.815,0.815,0.815,0.815,0.815,0.823,0.824,0.823,0.823,0.836,0.840,0.840,0.839,0.840,0.843,0.832,0.832,0.831,0.831,0.831,0.830,0.847,0.849,0.821,0.807,0.811,0.758,0.757,0.751,
Ecuador,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.034,0.033,0.033,0.033,0.039,0.045,0.047,0.047,0.047,0.036,0.036,0.035,0.035,0.034,0.034,0.073,0.092,0.092,0.092,0.086,0.083,0.091,0.082,0.082,0.087,0.087,0.095,0.106,0.112,0.063,0.042,0.037,0.044,0.045,0.045,0.066,0.077,0.077,0.078,0.050,0.044,0.044,0.044,0.044,0.044,0.069,0.091,0.066,0.066,0.078,0.079,0.079,0.079,0.060,0.063,0.063,0.063,0.063,0.091,0.095,0.103,0.103,0.123,0.123,0.123,0.128,0.152,0.152,0.175,0.175,0.178,0.163,0.162,0.162,0.161,0.160,0.144,0.144,0.144,0.144,0.139,0.157,0.165,0.159,0.159,0.158,0.145,0.147,0.144,0.144,0.126,0.126,0.123,0.125,0.125,0.115,0.112,0.116,0.117,0.128,0.135,0.134,0.128,0.128,0.131,0.070,0.062,0.061,0.072,0.124,0.106,0.105,0.105,0.105,0.099,0.105,0.098,0.117,0.173,0.186,0.187,0.186,0.180,0.177,0.180,0.185,0.184,0.187,0.190,0.191,0.183,0.182,0.186,0.057,0.059,0.060,0.065,0.125,0.155,0.197,0.093,0.089,0.075,0.064,0.066,0.066,0.067,0.070,0.085,0.135,0.439,0.440,0.441,0.444,0.427,0.409,0.410,0.410,0.434,0.477,0.474,0.472,0.472,0.457,0.453,0.454,0.451,0.459,0.464,0.462,0.453,0.453,0.455,0.460,0.458,0.459,0.461,0.409,0.351,0.332,0.311,0.311,0.307,0.268,0.265,0.263,0.268,0.342,0.460,0.450,0.473,0.458,0.500,0.460,0.446,
Australia,0.085,0.085,0.085,0.085,0.083,0.084,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.085,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.088,0.091,0.091,0.091,0.122,0.161*,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.231,0.231,0.258,0.278,0.278,0.278,0.278,0.279,0.280,0.292,0.292,0.292,0.292,0.292,0.292,0.343,0.440,0.506,0.509,0.510,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.506,0.507,0.509,0.509,0.508,0.508,0.508,0.509,0.509,0.509,0.508,0.508,0.508,0.509,0.509,0.507,0.507,0.507,0.507,0.508,0.508,0.508,0.508,0.509,0.510,0.510,0.510,0.508,0.508,0.508,0.504,0.506,0.544*,0.583,0.683,0.691,0.703,0.706,0.707,0.710,0.710,0.710,0.702,0.702,0.704,0.703,0.679,0.671,0.656,0.638,0.661,0.689,0.722,0.722,0.722,0.723,0.723,0.723,0.720,0.720,0.720,0.720,0.724,0.724,0.723,0.723,0.723,0.722,0.722,0.722,0.722,0.685,0.662,0.667,0.695,0.696,0.695,0.695,0.740,0.745,0.745,0.745,0.742,0.741,0.750,0.758,0.767,0.773,0.775,0.775,0.775,0.776,0.777,0.777,0.776,0.785,0.784,0.784,0.783,0.788,0.790,0.791,0.803,0.803,0.804,0.819,0.816,0.815,0.817,0.818,0.821,0.821,0.832,0.833,0.833,0.830,0.835,0.842,0.842,0.841,0.840,0.840,0.847,0.847,0.847,0.846,0.846,0.846,0.847,0.843,0.842,0.840,0.840,0.839,0.834,0.834,0.833,0.832,0.832,0.836,0.850,0.850,0.860,0.864,0.864,0.823,0.815,0.829,0.832,0.825,0.813,0.779,0.797,0.785,0.800,0.804,0.808,
Philippines,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.089,0.096,0.096,0.101,0.101,0.101,0.101,0.116,0.122,0.123,0.126,0.126,0.125,0.124,0.127,0.127,0.135,0.136,0.139,0.141,0.143,0.143,0.141,0.139,0.139,0.141,0.142,0.142,0.141,0.140,0.140,0.139,0.138,0.138,0.141,0.151,0.175,0.182,0.182,0.182,0.186,0.155,0.042,0.049,0.065,0.071,0.239,0.264,0.264,0.263,0.259,0.262,0.263,0.264,0.273,0.279,0.279,0.279,0.284,0.284,0.294,0.293,0.291,0.291,0.291,0.289,0.284,0.284,0.274,0.269,0.249,0.212,0.064,0.037,0.037,0.037,0.037,0.037,0.054,0.059,0.059,0.061,0.061,0.062,0.062,0.063,0.129,0.275,0.423,0.423,0.439,0.439,0.433,0.414,0.416,0.419,0.421,0.421,0.435,0.440,0.444,0.413,0.396,0.395,0.358,0.353,0.350,0.356,0.355,0.353,0.413,0.432,0.432,0.429,0.428,0.429,0.367,0.342,0.316,0.295,0.286,0.284,0.288,0.299,0.308,
Spain,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.070,0.071,0.072,0.075,0.075,0.109,0.113,0.104,0.097,0.097,0.097,0.097,0.097,0.125,0.135,0.135,0.130,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.097,0.115,0.122,0.139,0.142,0.143,0.143,0.148,0.137,0.137,0.137,0.137,0.137,0.136,0.136,0.135,0.135,0.135,0.135,0.136,0.136,0.139,0.142,0.142,0.137,0.137,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.138,0.144,0.185,0.192,0.192,0.192,0.192,0.166,0.158,0.158,0.158,0.158,0.151,0.152,0.153,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.156,0.159,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.167,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.167,0.167,0.167,0.166,0.166,0.166,0.166,0.166,0.166,0.166,0.165,0.165,0.165,0.166,0.164,0.116,0.084,0.084,0.084,0.084,0.084,0.084,0.085,0.134,0.409,0.408,0.396,0.396,0.344,0.239,0.231,0.111,0.048,0.049,0.050,0.057,0.058,0.059,0.061,0.061,0.061,0.061,0.063,0.063,0.063,0.063,0.063,0.063,0.062,0.062,0.064,0.064,0.067,0.067,0.067,0.067,0.067,0.067,0.068,0.069,0.072,0.072,0.074,0.074,0.075,0.076,0.076,0.099,0.111,0.280,0.653,0.782,0.789,0.789,0.793,0.802,0.802,0.802,0.807,0.816,0.816,0.816,0.814,0.814,0.814,0.819,0.820,0.820,0.823,0.823,0.823,0.823,0.812,0.810,0.810,0.792,0.803,0.805,0.805,0.804,0.817,0.820,0.822,0.822,0.805,0.776,0.776,0.762,0.767,0.756,0.776,0.802,0.788,0.778,0.785,0.763,0.745,
