"Location,1950–1955,1955–1960,1960–1965,1965–1970,1970–1975,1975–1980,1980–1985,1985–1990,1990–1995,1995–2000,2000–2005,2005–2010,2010–2015"
"Afghanistan,28.61,31.12,33.41,35.58,37.83,40.39,43.56,47.70,51.74,54.17,56.89,60.03,62.25"
"Albania,55.26,59.31,64.85,66.24,67.69,69.70,70.61,71.98,71.73,72.95,74.83,75.65,77.66"
"Algeria,42.89,45.00,47.29,49.47,51.48,54.93,61.57,65.85,67.20,69.14,71.50,73.88,75.27"
"Angola,31.39,32.54,34.09,36.04,38.05,40.00,40.89,41.48,42.22,44.73,49.98,55.59,60.19"
"Antigua and Barbuda,58.51,61.03,63.18,65.05,66.71,68.18,69.54,70.75,71.88,73.00,74.02,75.01,75.82"
"Argentina,62.57,64.58,65.31,65.84,67.28,68.72,70.21,71.06,72.20,73.33,74.39,75.18,76.01"
"Armenia,62.82,64.92,67.04,69.18,70.75,70.58,70.90,68.40,68.07,70.21,72.35,72.72,73.98"
"Aruba,60.44,64.36,66.58,68.22,70.05,71.55,72.87,73.30,73.54,73.70,73.97,74.68,75.37"
"Australia,69.37,70.42,70.87,70.83,71.75,73.58,75.08,76.18,77.69,78.84,80.34,81.48,82.30"
"Austria,66.54,68.02,69.66,70.14,70.80,72.14,73.28,75.00,76.16,77.54,78.93,80.14,80.99"
"Azerbaijan,58.43,60.40,61.53,62.62,63.53,63.93,64.40,65.21,64.55,66.24,67.43,70.09,71.57"
"Bahamas,60.02,61.97,63.69,65.22,66.63,67.92,69.09,70.21,71.13,71.68,73.17,74.33,75.14"
"Bahrain,42.98,48.46,55.25,61.09,65.35,68.33,70.50,71.83,72.90,73.93,74.91,75.68,76.41"
"Bangladesh,40.67,44.22,47.19,49.32,46.27,52.21,54.30,56.97,59.99,63.74,66.70,69.05,71.24"
"Barbados,57.22,59.84,62.17,64.59,66.35,67.96,69.47,70.77,71.92,72.94,73.75,74.55,75.36"
"Belarus,60.71,66.32,69.11,70.37,70.51,70.41,70.14,71.35,69.44,67.42,67.83,69.25,72.15"
"Belgium,67.81,69.46,70.30,70.71,71.50,72.66,73.91,75.27,76.41,77.39,78.38,79.58,80.53"
"Belize,55.92,58.64,61.34,64.26,66.72,68.63,70.35,71.45,70.56,68.58,68.51,69.52,69.76"
"Benin,33.72,36.13,38.42,40.87,43.48,46.22,48.30,51.92,55.14,54.96,56.18,58.56,59.93"
"Bhutan,32.26,33.78,35.47,38.20,41.06,43.69,47.39,50.98,54.81,58.58,62.91,66.54,68.78"
"Bolivia,40.02,41.39,42.95,44.72,46.69,48.86,51.22,53.78,56.47,59.27,62.11,64.95,67.72"
"Bosnia and Herzegovina,53.67,58.46,61.93,64.73,67.57,69.87,70.72,71.95,70.13,73.61,74.83,75.53,76.31"
"Botswana,47.67,49.71,51.61,53.37,56.07,59.32,61.75,62.54,59.86,51.31,49.15,56.52,62.91"
"Brazil,50.83,52.99,55.54,57.99,60.13,61.33,62.72,64.40,66.33,68.90,71.10,72.91,74.66"
"Brunei,58.28,61.02,63.82,65.95,67.83,69.45,70.91,72.28,73.53,74.68,75.74,76.69,76.71"
"Bulgaria,62.33,66.78,70.28,70.91,71.07,71.10,71.24,71.39,71.11,70.97,72.19,73.13,74.25"
"Burkina Faso,30.94,33.29,35.59,38.04,40.28,43.40,48.40,49.48,49.33,49.86,51.61,55.27,58.71"
"Burundi,39.03,40.52,42.03,43.53,44.23,46.43,48.03,49.16,47.30,50.85,51.97,53.67,56.09"
"Cambodia,40.32,41.05,41.39,41.97,37.84,14.48,45.08,52.04,54.27,56.42,60.79,65.12,67.61"
"Cameroon,38.54,40.45,42.68,44.85,47.42,50.06,52.06,52.79,51.25,49.34,51.45,54.39,56.39"
"Canada,69.05,70.31,71.34,72.15,73.01,74.32,75.86,76.83,77.75,78.58,79.70,80.76,81.78"
"Cape Verde,48.06,48.77,49.45,52.43,55.25,60.52,62.37,64.10,65.73,67.94,71.27,71.77,72.14"
