Name, Country, Age, Death_year, Death_cause
Şadan_Fişek, Turkey, 80, 2002, Unknown
Žarko_Jovanović, France, 60, 1985, Unknown
A.M._Stirton, France, 60, 1939, Unknown
A._B._Shah, India, 61, 1981, Unknown
A._Maceo_Smith, United States, 74, 1977, Unknown
A._Vaidyanatha_Iyer, India, 65, 1955, Unknown
Amir_Hossein_Heshmat_Saran, Iran, 49, 2009, Unknown
Amiri_Baraka, United States, 80, 2014, Unknown
Amit_Jethwa, India, 35, 2010, Assassination
Amos_Beman, India, 35, 1872, Unknown
Amy_Ashwood_Garvey, Unknwon, 72, 1969, Unknown
Amy_Biehl, South Africa, 26, 1993, ['Stoning', 'Stabbing']
An_Jae-hong, Unknwon, 74, 1965, Unknown
Ana_Betancourt, Unknwon, 74, 1901, Unknown
Ana_Livia_Cordero, United States, 61, 1992, Unknown
Ananías_Maidana, Paraguay, 87, 2010, Unknown
Anastas_Kullurioti, Paraguay, 87, 1887, Unknown
Anasuya_Sarabhai, India, 87, 1972, Unknown
Andhra_Ratna, India, 39, 1928, Unknown
Andrea_Heinemann_Simon, United States, 85, 1994, Lung cancer
Andrea_Parhamovich, United States, 29, 2007, Unknown
Andrea_Wolf, Unknwon, 33, 1998, Unknown
Andrei_Nikolaevich_Mironov, Ukraine, 60, 2014, Unknown
Andrew_Hope_III, Unknwon, 59, 2008, Unknown
Andrew_Vern-Barnett, Australia, 88, 2011, Unknown
Andrew_W._Cooper, United States, 75, 2002, Unknown
Andries_Tatane, South Africa, 33, 2011, Unknown
Andrzej_Butkiewicz, Poland, 53, 2008, Myocardial infarction
Andrzej_Kijowski, Poland, 57, 1985, Unknown
Andrzej_Kotula, Poland, 57, 1891, Unknown
André_Essel, France, 87, 2005, Unknown
André_Renard, Belgium, 51, 1962, Unknown
Angel_Bogdanovich, Belgium, 51, 1907, Unknown
Angela_Vode, Slovenia, 93, 1985, Unknown
Anil_Bordia, Unknwon, 78, 2012, Unknown
Ann_Ballin, Unknwon, 71, 2003, Unknown
Ann_C._Scales, United States, 59, 2011, Unknown
Ann_Carroll_Fitzhugh, United States, 59, 1879, Unknown
Ann_Jarvis, United States, 59, 1905, Unknown
Ann_Pamela_Cunningham, United States, 59, 1875, Unknown
Anna,_Lady_Barlow, United States, 59, 1965, Unknown
Anna_A._Maley, United States, 59, 1918, Unknown
Anna_Boyd_Ellington, United States, 59, 1907, Unknown
Anna_Clemenc, United States, 68, 1956, Unknown
Anna_Filosofova, United States, 68, 1912, Unknown
Anna_Garlin_Spencer, United States, 68, 1931, Unknown
Anna_Rochester, United States, 68, 1966, Unknown
